ACC,ARI,F1,FN_count,FN_ratio,HN_count,HN_ratio,L_cluster,L_cross,L_feat,L_hn,L_recon,L_reg,L_total,L_uncert,NMI,PUR,S_mean,S_p10,S_p50,S_p90,S_std,U_size,alpha_fn,candidate_neg_size,delta_post,delta_sim,denom_fn_share,denom_safe_share,empty_cluster,epoch,fn_pair_share,gamma_mean,gamma_p10,gamma_p50,gamma_p90,gamma_std,gate,hn_beta,hn_pair_share,knn_neg_k,label_flip,lr,m_gap_p10,m_gap_p50,m_gap_p90,m_top1_p10,m_top1_p50,m_top1_p90,mean_s_post_FN,mean_s_post_nonFN,mean_sim_HN,mean_sim_safe_nonHN,min_cluster,neg_after_filter_size,neg_count,neg_mode,neg_per_anchor,neg_used_in_loss_size,pi_fn,route_count_inconsistent,route_uncertain_only,safe_neg_count,safe_ratio,sim_neg_p90,sim_neg_p99,sim_pos_p50,sim_pos_p90,stab_rate,step,temp_f,temp_l,u_mean,u_p10,u_p50,u_p90,u_std,w_hit_min_ratio,w_mean,w_mean_on_FN,w_mean_on_safe,w_min,w_p10,w_p50,w_p90,w_std
0.3368,0.1849,0.2793,17550,0.2967,0,0.0,0.052826,0.0,10.775573,0.0,0.047253,0.0,10.895385,0.019732,0.3127,0.5093,,,,,,71,0.1,59132,0.01,-0.8867,0.0208,0.9792,0,1,,,,,,,0.0,0.1,,20,0.0,0.0001,,,,,,,0.1143,0.1043,0.0,0.8867,48,41582,59132,batch,240.5,59132,0.1,0,1,41582,0.7033,,,,,0.0,1,0.5,0.5,,,,,,0.2954,,0.05,1.0,0.05,,,,
0.3333,0.1724,0.2675,1788,0.0302,1590,0.0301,0.039846,0.0,10.726895,3.1e-05,0.046638,0.0,10.830695,0.017286,0.3079,0.5052,,,,,,71,0.1,59132,0.2367,0.3884,0.0023,0.9977,0,2,,,,,,,0.0101,0.1,,20,0.9325,0.0001,,,,,,,0.3782,0.1414,0.6952,0.3069,61,57344,59132,batch,240.5,59132,0.1,0,1,57344,0.9698,,,,,0.0675,2,0.5,0.5,,,,,,0.0301,,0.05,1.0,0.05,,,,
0.3913,0.2003,0.294,1764,0.0298,1568,0.0296,0.033271,0.0,9.772925,1e-06,0.043169,0.0,9.862697,0.013331,0.3016,0.5031,,,,,,70,0.1,59132,0.1113,0.4658,0.0024,0.9976,0,3,,,,,,,0.0202,0.1,,20,0.9808,0.0001,,,,,,,0.2076,0.0963,0.5266,0.0608,74,57368,59132,batch,240.5,59132,0.1,0,1,57368,0.9702,,,,,0.0192,3,0.5,0.5,,,,,,0.0297,,0.05,1.0,0.05,,,,
0.3706,0.2095,0.3025,1742,0.0295,1549,0.0293,0.0298,0.0,9.244291,3e-06,0.036027,0.0,9.324091,0.01397,0.3207,0.5155,,,,,,69,0.1,59132,0.0954,0.4767,0.0024,0.9976,0,4,,,,,,,0.0303,0.1,,20,0.8624,0.0001,,,,,,,0.1811,0.0857,0.4871,0.0104,72,57390,59132,batch,240.5,59132,0.1,0,1,57390,0.9705,,,,,0.1376,4,0.5,0.5,,,,,,0.0293,,0.05,1.0,0.05,,,,
0.4003,0.2257,0.3177,1718,0.029,1527,0.0289,0.028953,0.0,9.105199,1e-06,0.027331,0.0,9.175724,0.01424,0.3307,0.5286,-0.2184,-0.5656,-0.0595,-0.0222,0.2453,68,0.1,59132,0.1109,0.4813,0.0024,0.9976,0,5,0.029,1.4222,0.3382,1.0935,3.0026,1.2079,0.0404,0.1,0.0267,20,0.9733,0.0001,0.0964,0.3516,0.853,0.3088,0.5347,0.9165,0.191,0.0801,0.4785,-0.0028,70,57414,59132,batch,240.5,59132,0.1,0,1,57414,0.971,0.5198,0.852,0.6265,0.9543,0.0267,5,0.5,0.5,0.4961,0.4897,0.4968,0.5021,0.005,0.0289,0.9727,0.05,1.0,0.05,1.0,1.0,1.0,0.1587
0.3996,0.2407,0.3316,1696,0.0287,1508,0.0286,0.027522,0.0,8.821972,2e-06,0.02531,0.0,8.889478,0.014672,0.3483,0.5431,,,,,,68,0.1,59132,0.1177,0.4826,0.0023,0.9977,0,6,,,,,,,0.0505,0.1,,20,0.8928,0.0001,,,,,,,0.2072,0.0895,0.4681,-0.0144,68,57436,59132,batch,240.5,59132,0.1,0,1,57436,0.9713,,,,,0.1072,6,0.5,0.5,,,,,,0.0286,,0.05,1.0,0.05,,,,
0.4513,0.2566,0.3469,1693,0.0286,1505,0.0285,0.027332,0.0,8.705206,1e-06,0.024335,0.0,8.771341,0.014467,0.3557,0.5445,,,,,,67,0.1,59132,0.1127,0.4912,0.0024,0.9976,0,7,,,,,,,0.0606,0.1,,20,0.9306,0.0001,,,,,,,0.2029,0.0902,0.477,-0.0142,70,57439,59132,batch,240.5,59132,0.1,0,1,57439,0.9714,,,,,0.0694,7,0.5,0.5,,,,,,0.0285,,0.05,1.0,0.05,,,,
0.4486,0.2555,0.3455,1672,0.0283,1486,0.0281,0.027291,0.0,8.517206,4e-06,0.023755,0.0,8.582507,0.014252,0.3575,0.5362,,,,,,67,0.1,59132,0.1188,0.4794,0.0024,0.9976,0,8,,,,,,,0.0707,0.1,,20,0.8771,0.0001,,,,,,,0.2047,0.086,0.4666,-0.0128,70,57460,59132,batch,240.5,59132,0.1,0,1,57460,0.9717,,,,,0.1229,8,0.5,0.5,,,,,,0.0281,,0.05,1.0,0.05,,,,
0.4603,0.2743,0.3627,1647,0.0278,1464,0.0277,0.026305,0.0,8.396952,2.8e-05,0.023236,0.0,8.459483,0.012962,0.3751,0.5714,,,,,,66,0.1,59132,0.1009,0.5137,0.0023,0.9977,0,9,,,,,,,0.0808,0.1,,20,0.8689,0.0001,,,,,,,0.1846,0.0837,0.4931,-0.0206,81,57485,59132,batch,240.5,59132,0.1,0,1,57485,0.9722,,,,,0.1311,9,0.5,0.5,,,,,,0.0277,,0.05,1.0,0.05,,,,
0.4513,0.2783,0.3663,1625,0.0275,1445,0.0274,0.025821,0.0,8.140015,3e-06,0.023018,0.0,8.202222,0.013364,0.3774,0.5721,-0.5143,-1.3258,-0.1347,-0.0427,0.5836,65,0.1,59132,0.0957,0.458,0.0023,0.9977,0,10,0.0275,1.5758,0.225,0.9144,3.951,1.8651,0.0909,0.1,0.0253,20,0.9091,0.0001,0.0561,0.2625,0.9312,0.2595,0.436,0.9603,0.1853,0.0896,0.4397,-0.0183,72,57507,59132,batch,240.5,59132,0.1,0,1,57507,0.9725,0.4979,0.9403,0.7151,0.9775,0.0909,10,0.5,0.5,0.4884,0.4678,0.4938,0.4995,0.016,0.0274,0.9738,0.05,1.0,0.05,1.0,1.0,1.0,0.1555
0.4672,0.2834,0.3713,1622,0.0274,1442,0.0273,0.026083,0.0,8.097855,4e-06,0.022966,0.0,8.159981,0.013073,0.3773,0.5804,,,,,,65,0.1,59132,0.0912,0.4851,0.0024,0.9976,0,11,,,,,,,0.101,0.1,,20,0.9012,0.0001,,,,,,,0.1817,0.0905,0.4705,-0.0146,52,57510,59132,batch,240.5,59132,0.1,0,1,57510,0.9726,,,,,0.0988,11,0.5,0.5,,,,,,0.0273,,0.05,1.0,0.05,,,,
0.4872,0.2944,0.3814,1601,0.0271,1423,0.0269,0.025373,0.0,7.966131,5e-06,0.023073,0.0,8.027091,0.012509,0.3711,0.5742,,,,,,64,0.1,59132,0.0827,0.4649,0.0023,0.9977,0,12,,,,,,,0.1111,0.1,,20,0.7914,0.0001,,,,,,,0.1692,0.0864,0.4517,-0.0132,69,57531,59132,batch,240.5,59132,0.1,0,1,57531,0.9729,,,,,0.2086,12,0.5,0.5,,,,,,0.0269,,0.05,1.0,0.05,,,,
0.4707,0.287,0.3745,1576,0.0266,1402,0.0265,0.025442,0.0,7.891197,2e-06,0.023073,0.0,7.951187,0.011474,0.3789,0.5776,,,,,,63,0.1,59132,0.086,0.4707,0.0023,0.9977,0,13,,,,,,,0.1212,0.1,,20,0.9954,0.0001,,,,,,,0.1752,0.0891,0.4572,-0.0135,62,57556,59132,batch,240.5,59132,0.1,0,1,57556,0.9734,,,,,0.0046,13,0.5,0.5,,,,,,0.0265,,0.05,1.0,0.05,,,,
0.4907,0.3108,0.3964,1555,0.0263,1382,0.0262,0.024902,0.0,7.687377,0.000147,0.023114,0.0,7.747764,0.012223,0.3829,0.5783,,,,,,62,0.1,59132,0.0685,0.5242,0.0021,0.9979,0,14,,,,,,,0.1313,0.1,,20,0.7529,0.0001,,,,,,,0.1572,0.0887,0.5081,-0.0161,64,57577,59132,batch,240.5,59132,0.1,0,1,57577,0.9737,,,,,0.2471,14,0.5,0.5,,,,,,0.0262,,0.05,1.0,0.05,,,,
0.5169,0.3294,0.4135,1530,0.0259,1360,0.0257,0.025018,0.0,7.542674,0.000209,0.022862,0.0,7.60302,0.012256,0.3992,0.5963,-0.8778,-2.099,-0.2624,-0.0645,0.924,61,0.1,59132,0.0613,0.5383,0.0021,0.9979,0,15,0.0259,1.0588,0.1954,0.7048,2.4545,1.1315,0.1414,0.1,0.0237,20,0.8869,0.0001,0.0443,0.2096,0.8058,0.2373,0.368,0.8787,0.1478,0.0865,0.5195,-0.0188,57,57602,59132,batch,240.5,59132,0.1,0,1,57602,0.9741,0.4768,0.9572,0.7257,0.9899,0.1131,15,0.5,0.5,0.4812,0.4545,0.4902,0.4979,0.0206,0.0258,0.9755,0.05,1.0,0.05,1.0,1.0,1.0,0.1505
0.5031,0.3266,0.4109,1530,0.0259,1360,0.0257,0.024818,0.0,7.231842,3.9e-05,0.022528,0.0,7.291522,0.012294,0.3955,0.5894,,,,,,61,0.1,59132,0.0772,0.5024,0.0023,0.9977,0,16,,,,,,,0.1515,0.1,,20,0.9439,0.0001,,,,,,,0.1668,0.0896,0.4837,-0.0186,61,57602,59132,batch,240.5,59132,0.1,0,1,57602,0.9741,,,,,0.0561,16,0.5,0.5,,,,,,0.0258,,0.05,1.0,0.05,,,,
0.5066,0.3223,0.407,1506,0.0254,1339,0.0253,0.024766,0.0,7.429145,2.3e-05,0.022364,0.0,7.4884,0.012102,0.3942,0.5818,,,,,,60,0.1,59132,0.0614,0.4587,0.0021,0.9979,0,17,,,,,,,0.1616,0.1,,20,0.8856,0.0001,,,,,,,0.1486,0.0872,0.4428,-0.0159,49,57626,59132,batch,240.5,59132,0.1,0,1,57626,0.9746,,,,,0.1144,17,0.5,0.5,,,,,,0.0253,,0.05,1.0,0.05,,,,
0.499,0.3223,0.4069,1481,0.025,1317,0.0249,0.024319,0.0,7.245734,2.3e-05,0.02231,0.0,7.303776,0.01139,0.3947,0.5797,,,,,,59,0.1,59132,0.0602,0.4685,0.0021,0.9979,0,18,,,,,,,0.1717,0.1,,20,0.9954,0.0001,,,,,,,0.15,0.0898,0.4508,-0.0177,60,57651,59132,batch,240.5,59132,0.1,0,1,57651,0.975,,,,,0.0046,18,0.5,0.5,,,,,,0.0249,,0.05,1.0,0.05,,,,
0.5066,0.3431,0.4259,1460,0.0247,1298,0.0246,0.023989,0.0,7.222968,4.3e-05,0.022277,0.0,7.280459,0.011183,0.4025,0.5852,,,,,,58,0.1,59132,0.0673,0.4662,0.0021,0.9979,0,19,,,,,,,0.1818,0.1,,20,0.7647,0.0001,,,,,,,0.16,0.0927,0.4504,-0.0158,64,57672,59132,batch,240.5,59132,0.1,0,1,57672,0.9753,,,,,0.2353,19,0.5,0.5,,,,,,0.0246,,0.05,1.0,0.05,,,,
0.5335,0.3656,0.4463,1457,0.0246,1295,0.0245,0.023848,0.0,7.115183,3.2e-05,0.022253,0.0,7.173148,0.011831,0.4099,0.5983,-1.0686,-2.8986,-0.2894,-0.0688,1.2348,58,0.1,59132,0.0584,0.4434,0.0021,0.9979,0,20,0.0246,0.7426,0.1079,0.4835,1.6882,0.7197,0.1919,0.1,0.0225,20,0.998,0.0001,0.0195,0.1024,0.5212,0.181,0.2596,0.7104,0.148,0.0896,0.4255,-0.0179,61,57675,59132,batch,240.5,59132,0.1,0,1,57675,0.9754,0.4628,0.9649,0.7419,0.9904,0.002,20,0.5,0.5,0.4788,0.4449,0.4894,0.4977,0.0253,0.0245,0.9772,0.05,1.0,0.05,1.0,1.0,1.0,0.1452
